Entrances,Not_reside,Used,floors,appartment,RuleID,Name,Shape_Leng,Shape_Area,lat,lon,Usage_Grouped,TileX,TileY,solar_2019,solar_2020,solar_2021,solar_2022,solar_2023,solar_2024
1,1,מקלט,1,0,1,,32.47131346,23.795936,31.24889146,34.79594872,Public,386431.3510999112,329777.0921269025,0,0,0,0,0,0
1,1,גן ילדים,1,0,1,,56.82724125,178.099008,31.24906704,34.79601151,Public,386430.2067998763,329777.44735849346,0,0,0,0,0,0
1,1,מעון,2,0,1,,88.1722293,356.299392,31.24866289,34.79713788,Public,386432.86360956327,329783.78549906163,0,0,0,0,0,0
1,1,בית כנסת,1,0,1,ישיבת נתיב השבים,53.23684382,158.2569163,31.24834945,34.79702958,Public,386434.9061293004,329783.17291260144,0,0,0,0,0,0
3,0,מגורים,2,4,1,,87.29534099,220.155104,31.24975797,34.79651125,Residence,386425.7080573409,329780.2678881502,0,0,0,0,0,0
1,1,בית ספר,3,0,1,מכללת אתגר,187.5089271,1042.020482,31.25100924,34.79584629,Public,386417.52992082026,329776.5379929702,0,0,0,0,0,1
1,1,קהילתי,1,0,1,,85.77208194,305.590048,31.25082933,34.79699908,Public,386418.7257725732,329783.0257188185,0,0,0,0,0,0
1,1,גן ילדים,2,2,1,,95.79886088,355.8138133,31.25055392,34.79698209,Public,386420.5228423468,329782.9270666665,0,0,0,0,0,0
1,0,מגורים,2,3,1,,76.25897069,210.5889251,31.25051918,34.79664128,Residence,386420.7432207684,329781.00798327144,0,0,0,0,0,0
2,0,מגורים,2,4,1,,91.55368443,252.3336728,31.25051555,34.79637757,Residence,386420.7620003448,329779.5233131094,0,0,1,1,1,1
1,0,מגורים,2,2,1,,78.83695549,199.507648,31.25050761,34.79613153,Residence,386420.8092300331,329778.1380868395,0,0,0,0,0,0
1,0,מגורים,2,2,1,,69.03923311,187.1603277,31.25052341,34.79584462,Residence,386420.7007558636,329776.5230540039,0,0,0,0,0,1
1,0,מגורים,2,2,1,,75.19332056,239.12148,31.25054767,34.79557999,Residence,386420.537472726,329775.0335654415,0,0,0,0,0,0
